"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"114","Glutamate dehydrogenase, mitochondrial OS=Drosophila melanogaster GN=Gdh PE=1 SV=2",10.341,10.123,10.227,10.138,10.225,10.356,10.255,10.365,10.418,10.494,0.166,0.065,"Glutamate dehydrogenase, mitochondrial","Gdh","no_change"
"115","Kinesin heavy chain OS=Drosophila melanogaster GN=Khc PE=1 SV=2",10.993,11.004,10.97,10.963,10.969,10.968,11.101,11.08,11.15,11.154,0.111,0.108,"Kinesin heavy chain","Khc","no_change"
"116","MIP16230p OS=Drosophila melanogaster GN=Vha68-2 PE=1 SV=1",11.306,11.088,11.147,10.987,11.16,11.116,11.22,11.454,11.54,11.767,0.282,0.084,"MIP16230p","Vha68-2","no_change"
"117","Anon1A4 OS=Drosophila melanogaster GN=Df31 PE=1 SV=1",11.429,11.524,11.565,11.715,11.342,11.615,11.644,11.54,11.418,11.122,-0.047,0.744,"Anon1A4","Df31","no_change"
"118","Vinculin, isoform B OS=Drosophila melanogaster GN=Vinc PE=1 SV=1",11.284,11.393,11.275,11.275,11.315,11.084,11.121,11.026,11.101,11.177,-0.206,0.018,"Vinculin, isoform B","Vinc","no_change"
"119","LD20211p OS=Drosophila melanogaster GN=Tudor-SN PE=1 SV=1",11.662,11.39,11.523,11.455,11.509,11.591,11.817,12.012,12.242,12.398,0.504,0.025,"LD20211p","Tudor-SN","no_change"
"120","Eukaryotic translation initiation factor 3 subunit A OS=Drosophila melanogaster GN=eIF3-S10 PE=1 SV=1",11.026,11.042,11.046,11.04,11.016,11.068,11.018,11.003,11.075,11.165,0.032,0.614,"Eukaryotic translation initiation factor 3 subunit A","eIF3-S10","no_change"
"121","GH24511p OS=Drosophila melanogaster GN=Uba1 PE=1 SV=1",10.784,10.523,10.723,10.607,10.564,10.762,10.941,11.094,11.194,11.222,0.402,0.017,"GH24511p","Uba1","no_change"
"122","La-related protein 1 OS=Drosophila melanogaster GN=larp PE=1 SV=5",10.849,10.781,10.918,10.878,10.74,10.783,10.836,10.698,10.719,10.63,-0.1,0.192,"La-related protein 1","larp","no_change"
"123","Limpet, isoform K OS=Drosophila melanogaster GN=Lmpt PE=1 SV=2",9.527,9.516,9.638,9.473,9.519,9.473,9.407,9.257,9.296,9.26,-0.196,0.035,"Limpet, isoform K","Lmpt","no_change"
"124","Actin-57B OS=Drosophila melanogaster GN=Act57B PE=1 SV=1",6.699,7.618,7.629,7.579,6.705,7.797,8.125,8.1,8.358,10.075,1.245,0.041,"Actin-57B","Act57B","up"
"125","Fatty acid synthase 2, isoform B OS=Drosophila melanogaster GN=FASN2 PE=1 SV=1",11.425,11.422,11.424,11.189,11.337,11.169,11.4,11.31,11.243,11.54,-0.027,0.802,"Fatty acid synthase 2, isoform B","FASN2","no_change"
"126","Alpha-mannosidase OS=Drosophila melanogaster GN=LManVI PE=1 SV=2",9.855,9.518,9.744,9.582,9.628,10.075,10.112,10.573,10.728,11,0.832,0.011,"Alpha-mannosidase","LManVI","no_change"
"127","Uncharacterized protein, isoform G OS=Drosophila melanogaster GN=Dmel\CG43078 PE=1 SV=1",6.079,6.256,6.403,6.39,6.185,6.3,5.895,5.805,6.04,6.038,-0.247,0.075,"Uncharacterized protein, isoform G","Dmel\CG43078","no_change"
"128","ATP-dependent 6-phosphofructokinase OS=Drosophila melanogaster GN=Pfk PE=2 SV=2",11.267,11.292,11.131,11.065,11.235,10.863,11.008,11.187,11.475,11.736,0.056,0.781,"ATP-dependent 6-phosphofructokinase","Pfk","no_change"
"129","Alpha-mannosidase OS=Drosophila melanogaster GN=LManV PE=1 SV=1",10.181,9.711,10.009,9.762,9.872,10.165,10.263,10.746,10.712,10.769,0.624,0.015,"Alpha-mannosidase","LManV","no_change"
"130","Vacuolar protein sorting-associated protein 13 OS=Drosophila melanogaster GN=Vps13 PE=1 SV=2",10.649,10.799,10.692,10.599,10.781,10.682,10.746,10.604,10.552,10.58,-0.071,0.367,"Vacuolar protein sorting-associated protein 13","Vps13","no_change"
"131","Lethal (2) 01289, isoform F OS=Drosophila melanogaster GN=l(2)01289 PE=1 SV=1",10.437,10.573,10.497,10.416,10.476,10.271,10.434,10.24,10.235,10.218,-0.2,0.03,"Lethal (2) 01289, isoform F","l(2)01289","no_change"
"132","Uncharacterized protein, isoform C OS=Drosophila melanogaster GN=CG30122 PE=1 SV=1",10.97,11.116,11.061,11.154,11.056,10.588,10.809,10.651,10.53,10.403,-0.476,0.005,"Uncharacterized protein, isoform C","CG30122","no_change"
"133","Cytochrome P450 4g1 OS=Drosophila melanogaster GN=Cyp4g1 PE=2 SV=1",11.369,11.477,11.443,11.339,11.315,11.19,11.406,11.296,11.252,11.507,-0.058,0.518,"Cytochrome P450 4g1","Cyp4g1","no_change"
"134","LD13601p OS=Drosophila melanogaster GN=UGP PE=1 SV=2",11.953,11.943,11.853,11.833,12.1,11.87,11.839,11.983,11.993,12.146,0.03,0.769,"LD13601p","UGP","no_change"
"135","Defective chorion-1 protein, FC125 isoform OS=Drosophila melanogaster GN=dec-1 PE=2 SV=2",10.938,10.66,10.929,10.986,10.677,11.044,11.072,11.072,10.989,10.814,0.16,0.152,"Defective chorion-1 protein, FC125 isoform","dec-1","no_change"
"136","CG5028, isoform A OS=Drosophila melanogaster GN=CG5028 PE=1 SV=1",11.33,11.133,11.291,11.145,11.276,11.298,11.355,11.384,11.611,11.978,0.29,0.084,"CG5028, isoform A","CG5028","no_change"
"137","Limpet, isoform J OS=Drosophila melanogaster GN=Lmpt PE=1 SV=1",5.725,5.573,5.504,5.411,5.261,5.558,5.495,5.568,5.475,5.44,0.012,0.917,"Limpet, isoform J","Lmpt","no_change"
"138","CG1910, isoform A OS=Drosophila melanogaster GN=CG1910 PE=1 SV=1",10.91,11.063,10.994,11.044,11.045,10.905,10.818,10.693,10.603,10.499,-0.308,0.021,"CG1910, isoform A","CG1910","no_change"
"139","Protein bangles and beads OS=Drosophila melanogaster GN=bnb PE=1 SV=1",11.58,11.697,11.656,11.656,11.606,11.418,11.512,11.373,11.407,11.386,-0.22,0.015,"Protein bangles and beads","bnb","no_change"
"140","CG1648, isoform B OS=Drosophila melanogaster GN=CG1648 PE=1 SV=1",12.274,12.092,12.226,11.726,12.31,11.692,11.748,11.855,11.954,12.362,-0.203,0.276,"CG1648, isoform B","CG1648","no_change"
"141","GH01077p OS=Drosophila melanogaster GN=UQCR-C1 PE=1 SV=2",11.374,10.999,11.173,11.016,11.168,11.046,11.212,11.413,11.754,12.307,0.4,0.146,"GH01077p","UQCR-C1","no_change"
"142","Alanine--tRNA ligase, cytoplasmic OS=Drosophila melanogaster GN=Aats-ala PE=2 SV=1",10.934,10.893,10.909,10.895,10.868,10.957,11.063,11.104,11.076,11.048,0.15,0.038,"Alanine--tRNA ligase, cytoplasmic","Aats-ala","no_change"
"143","Stress-sensitive B, isoform E OS=Drosophila melanogaster GN=sesB PE=1 SV=1",12.737,13.087,12.681,12.662,12.686,12.596,12.7,12.709,12.76,12.969,-0.024,0.863,"Stress-sensitive B, isoform E","sesB","no_change"
"144","LD47396p OS=Drosophila melanogaster GN=CCT7 PE=1 SV=2",10.894,10.211,10.584,10.331,10.371,10.711,11.056,11.313,11.427,11.495,0.722,0.016,"LD47396p","CCT7","no_change"
"145","Glutamate dehydrogenase OS=Drosophila melanogaster GN=Gdh PE=1 SV=1",7.208,6.689,7.322,7.041,7.221,7.201,7.256,7.368,7.475,7.601,0.284,0.092,"Glutamate dehydrogenase","Gdh","no_change"
"146","CG7920, isoform A OS=Drosophila melanogaster GN=CG7920 PE=1 SV=1",11.577,10.903,11.184,10.892,11.17,11.147,11.469,11.711,11.959,12.249,0.562,0.055,"CG7920, isoform A","CG7920","no_change"
"147","Valyl-tRNA synthetase, isoform C OS=Drosophila melanogaster GN=ValRS PE=1 SV=1",10.577,10.535,10.505,10.473,10.529,10.419,10.565,10.605,10.721,10.779,0.094,0.298,"Valyl-tRNA synthetase, isoform C","ValRS","no_change"
"148","Hsp70/Hsp90 organizing protein OS=Drosophila melanogaster GN=Hop PE=1 SV=1",11.33,11.135,11.253,11.267,11.117,11.31,11.425,11.515,11.575,11.553,0.255,0.024,"Hsp70/Hsp90 organizing protein","Hop","no_change"
"149","Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Drosophila melanogaster GN=l(1)G0156 PE=2 SV=1",11.191,10.83,11.072,10.843,10.996,11.116,11.19,11.304,11.53,12.058,0.453,0.056,"Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial","l(1)G0156","no_change"
"150","Phosphoglucomutase OS=Drosophila melanogaster GN=Pgm PE=1 SV=1",11.501,11.515,11.443,11.383,11.561,11.403,11.41,11.501,11.626,11.803,0.068,0.523,"Phosphoglucomutase","Pgm","no_change"
"151","Dipeptidyl peptidase 3 OS=Drosophila melanogaster GN=DppIII PE=2 SV=2",11.099,10.842,10.964,10.947,10.895,10.993,11.096,11.149,11.242,11.278,0.202,0.052,"Dipeptidyl peptidase 3","DppIII","no_change"
"152","Aluminum tubes, isoform G OS=Drosophila melanogaster GN=alt PE=1 SV=1",11.194,11.167,11.219,11.29,11.091,11.239,11.317,11.307,11.294,11.148,0.069,0.347,"Aluminum tubes, isoform G","alt","no_change"
"153","Aldehyde dehydrogenase OS=Drosophila melanogaster GN=Aldh PE=1 SV=1",10.798,10.495,10.668,10.554,10.713,10.663,10.713,10.96,11.132,11.351,0.318,0.076,"Aldehyde dehydrogenase","Aldh","no_change"
"154","Tropomyosin 2, isoform E OS=Drosophila melanogaster GN=Tm2 PE=1 SV=1",9.669,11.348,11.139,11.34,9.934,11.21,11.295,11.356,11.684,13.2,1.063,0.09,"Tropomyosin 2, isoform E","Tm2","up"
"155","C-1-tetrahydrofolate synthase, cytoplasmic OS=Drosophila melanogaster GN=pug PE=2 SV=4",11.048,10.884,10.892,10.826,11.075,11.069,10.943,11.162,11.26,11.362,0.214,0.077,"C-1-tetrahydrofolate synthase, cytoplasmic","pug","no_change"
"156","Axotactin, isoform C OS=Drosophila melanogaster GN=axo PE=4 SV=1",10.618,10.855,10.725,10.685,10.709,10.617,10.625,10.554,10.544,10.605,-0.13,0.087,"Axotactin, isoform C","axo","no_change"
"157","1,4-Alpha-Glucan branching enzyme OS=Drosophila melanogaster GN=AGBE PE=1 SV=1",11.583,11.341,11.326,11.251,11.581,11.138,11.151,11.435,11.567,11.754,-0.007,0.967,"1,4-Alpha-Glucan branching enzyme","AGBE","no_change"
"158","Heat shock 70-kDa protein cognate 3, isoform E OS=Drosophila melanogaster GN=Hsc70-3 PE=1 SV=1",11.158,11.079,11.087,11.188,11,11.114,11.225,11.304,11.361,11.379,0.174,0.063,"Heat shock 70-kDa protein cognate 3, isoform E","Hsc70-3","no_change"
"159","Lamin Dm0 OS=Drosophila melanogaster GN=Lam PE=1 SV=4",11.251,11.047,11.09,10.917,10.987,11.03,11.094,11.36,11.531,11.533,0.251,0.1,"Lamin Dm0","Lam","no_change"
"160","Neither inactivation nor afterpotential protein C OS=Drosophila melanogaster GN=ninaC PE=1 SV=2",11.22,10.907,11.036,10.939,11.114,10.922,10.891,11.123,11.202,11.578,0.1,0.542,"Neither inactivation nor afterpotential protein C","ninaC","no_change"
"161","Laminin subunit gamma-1 OS=Drosophila melanogaster GN=LanB2 PE=2 SV=2",10.445,10.444,10.302,10.359,10.521,10.135,10.018,9.958,10.096,10.215,-0.329,0.01,"Laminin subunit gamma-1","LanB2","no_change"
"162","Delta-1-pyrroline-5-carboxylate synthase OS=Drosophila melanogaster GN=Dmel\CG7470 PE=1 SV=1",11.336,11.004,11.119,11.013,11.195,11.163,11.179,11.568,11.8,12.132,0.435,0.075,"Delta-1-pyrroline-5-carboxylate synthase","Dmel\CG7470","no_change"
"163","Regulatory particle non-ATPase 2, isoform B OS=Drosophila melanogaster GN=Rpn2 PE=4 SV=1",10.643,10.572,10.559,10.544,10.48,10.418,10.727,10.768,10.886,10.998,0.2,0.124,"Regulatory particle non-ATPase 2, isoform B","Rpn2","no_change"
"164","Elongation factor Tu OS=Drosophila melanogaster GN=mEFTu1 PE=1 SV=1",11.462,11.247,11.357,11.157,11.253,11.147,11.325,11.465,11.567,11.767,0.159,0.264,"Elongation factor Tu","mEFTu1","no_change"
"165","Transferrin OS=Drosophila melanogaster GN=Tsf1 PE=1 SV=1",10.459,10.087,9.944,11.153,10.387,11.063,10.807,11.192,11.51,11.949,0.898,0.027,"Transferrin","Tsf1","no_change"
"166","Phosrestin-1 OS=Drosophila melanogaster GN=Arr2 PE=1 SV=2",11.263,11.178,11.137,11.102,11.14,10.84,11.054,11.072,11.073,11.298,-0.097,0.343,"Phosrestin-1","Arr2","no_change"
"167","A kinase anchor protein 200, isoform D OS=Drosophila melanogaster GN=Akap200 PE=1 SV=1",8.419,8.644,8.498,8.464,8.587,8.969,8.937,8.786,8.591,8.585,0.251,0.054,"A kinase anchor protein 200, isoform D","Akap200","no_change"
"168","Z band alternatively spliced PDZ-motif protein 52, isoform T OS=Drosophila melanogaster GN=Zasp52 PE=1 SV=1",5.741,6.026,5.572,5.865,5.879,5.813,5.752,5.689,5.41,5.674,-0.149,0.243,"Z band alternatively spliced PDZ-motif protein 52, isoform T","Zasp52","no_change"
"169","Glycoprotein 93 OS=Drosophila melanogaster GN=Gp93 PE=1 SV=1",11.25,11.134,11.139,11.165,11.095,11.23,11.335,11.418,11.435,11.417,0.21,0.025,"Glycoprotein 93","Gp93","no_change"
"170","Laminin subunit beta-1 OS=Drosophila melanogaster GN=LanB1 PE=1 SV=4",10.277,10.192,10.044,10.07,10.204,9.901,9.894,9.909,10.167,10.335,-0.116,0.348,"Laminin subunit beta-1","LanB1","no_change"
"171","CG6439, isoform A OS=Drosophila melanogaster GN=CG6439 PE=1 SV=1",11.732,11.714,11.81,11.66,11.745,11.753,11.731,11.715,11.821,12.153,0.102,0.349,"CG6439, isoform A","CG6439","no_change"
"172","MICOS complex subunit MIC60 OS=Drosophila melanogaster GN=Mitofilin PE=3 SV=1",11.751,11.739,11.732,11.597,11.682,11.586,11.685,11.69,11.735,11.861,0.011,0.9,"MICOS complex subunit MIC60","Mitofilin","no_change"
"173","FI05224p OS=Drosophila melanogaster GN=ThrRS PE=1 SV=2",10.77,10.582,10.662,10.613,10.637,10.644,10.769,10.883,11.074,11.205,0.262,0.067,"FI05224p","ThrRS","no_change"
"174","Mitochondrial trifunctional protein alpha subunit, isoform B OS=Drosophila melanogaster GN=Mtpalpha PE=1 SV=1",11.876,11.566,11.72,11.593,11.674,11.666,11.789,11.949,12.038,12.135,0.229,0.086,"Mitochondrial trifunctional protein alpha subunit, isoform B","Mtpalpha","no_change"
"175","CG2918, isoform A OS=Drosophila melanogaster GN=EG:25E8.1 PE=1 SV=1",10.404,10.425,10.409,10.497,10.369,10.486,10.488,10.388,10.332,10.218,-0.039,0.642,"CG2918, isoform A","EG:25E8.1","no_change"
"176","CG7461, isoform B OS=Drosophila melanogaster GN=CG7461 PE=1 SV=2",11.172,11.064,11.126,11.008,11.08,11.037,11.143,11.333,11.381,11.497,0.188,0.108,"CG7461, isoform B","CG7461","no_change"
"177","Pyruvate dehydrogenase E1 component subunit alpha OS=Drosophila melanogaster GN=l(1)G0334 PE=1 SV=1",11.133,10.733,10.875,10.636,10.82,10.833,11.024,11.434,11.753,12.147,0.599,0.062,"Pyruvate dehydrogenase E1 component subunit alpha","l(1)G0334","no_change"
"178","Chaoptin, isoform D OS=Drosophila melanogaster GN=chp PE=1 SV=1",11.347,11.284,11.328,11.292,11.382,11.174,11.196,11.268,11.304,11.598,-0.019,0.865,"Chaoptin, isoform D","chp","no_change"
"179","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=CG44245 PE=1 SV=3",10.713,10.593,10.719,10.773,10.737,10.687,10.604,10.584,10.595,10.761,-0.061,0.407,"Uncharacterized protein, isoform A","CG44245","no_change"
"180","Isocitrate dehydrogenase [NADP] OS=Drosophila melanogaster GN=Idh PE=1 SV=2",11.649,11.472,11.527,11.391,11.538,11.473,11.53,11.701,11.783,12.028,0.188,0.164,"Isocitrate dehydrogenase [NADP]","Idh","no_change"
"181","T-complex protein 1 subunit gamma OS=Drosophila melanogaster GN=Cctgamma PE=2 SV=2",10.528,10.229,10.413,10.344,10.204,10.572,10.644,10.83,11.005,11.166,0.5,0.016,"T-complex protein 1 subunit gamma","Cctgamma","no_change"
"182","Probable ubiquitin carboxyl-terminal hydrolase FAF OS=Drosophila melanogaster GN=faf PE=1 SV=2",10.157,10.128,10.157,10.085,10.008,10.136,10.211,10.19,10.157,10.056,0.043,0.534,"Probable ubiquitin carboxyl-terminal hydrolase FAF","faf","no_change"
"183","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=Dmel\CG17514 PE=1 SV=2",10.715,10.492,10.576,10.526,10.538,10.547,10.599,10.729,10.744,10.768,0.108,0.206,"Uncharacterized protein, isoform A","Dmel\CG17514","no_change"
"184","Glucose-6-phosphate isomerase OS=Drosophila melanogaster GN=Pgi PE=2 SV=2",11.412,11.015,11.175,10.946,11.21,11.111,11.385,11.697,11.797,12.019,0.45,0.054,"Glucose-6-phosphate isomerase","Pgi","no_change"
"185","Peroxisomal multifunctional enzyme type 2 OS=Drosophila melanogaster GN=Mfe2 PE=1 SV=1",11.004,10.925,10.946,10.843,11.013,10.821,10.845,10.913,10.934,11.053,-0.033,0.681,"Peroxisomal multifunctional enzyme type 2","Mfe2","no_change"
"186","IP09655p OS=Drosophila melanogaster GN=Mdh2 PE=1 SV=1",12.074,12.654,11.995,12.235,12.139,12.112,11.932,11.925,11.979,12.289,-0.172,0.282,"IP09655p","Mdh2","no_change"
"187","Coronin OS=Drosophila melanogaster GN=coro PE=1 SV=1",6.243,6.026,6.044,5.91,6.174,5.97,6.063,6.28,6.094,6.187,0.039,0.716,"Coronin","coro","no_change"
"188","RE29555p OS=Drosophila melanogaster GN=CG11089 PE=1 SV=1",10.642,10.371,10.505,10.51,10.569,10.763,10.687,10.948,11.078,11.007,0.377,0.015,"RE29555p","CG11089","no_change"
"189","60S ribosomal protein L3 OS=Drosophila melanogaster GN=RpL3 PE=1 SV=3",11.19,10.532,11.033,10.726,10.802,10.979,11.225,11.385,11.702,11.904,0.582,0.035,"60S ribosomal protein L3","RpL3","no_change"
"190","CG9297, isoform A OS=Drosophila melanogaster GN=CG9297-RA PE=1 SV=1",10.958,11.082,11,10.846,10.901,10.584,10.957,10.768,10.813,10.949,-0.143,0.177,"CG9297, isoform A","CG9297-RA","no_change"
"191","Twenty-four, isoform B OS=Drosophila melanogaster GN=tyf PE=1 SV=1",9.53,9.355,9.56,9.574,9.425,9.557,9.74,9.755,9.695,9.439,0.149,0.143,"Twenty-four, isoform B","tyf","no_change"
"192","GM12270p OS=Drosophila melanogaster GN=CCT5 PE=1 SV=1",11.512,11.159,11.386,11.353,11.275,11.517,11.705,11.759,11.782,11.734,0.362,0.013,"GM12270p","CCT5","no_change"
"193","Tubulin alpha-1 chain OS=Drosophila melanogaster GN=alphaTub84B PE=1 SV=1",8.957,9.106,8.801,8.811,8.857,8.846,9.101,9.461,9.974,10.473,0.665,0.073,"Tubulin alpha-1 chain","alphaTub84B","no_change"
"194","Uncharacterized protein OS=Drosophila melanogaster GN=CG30069 PE=1 SV=1",9.587,9.809,9.497,9.584,9.659,9.399,9.333,9.218,9.141,9.226,-0.364,0.011,"Uncharacterized protein","CG30069","no_change"
"195","Midasin OS=Drosophila melanogaster GN=CG13185 PE=1 SV=2",9.977,10.055,9.937,9.948,9.961,9.827,9.745,9.677,9.628,9.622,-0.276,0.011,"Midasin","CG13185","no_change"
"196","Shibire, isoform L OS=Drosophila melanogaster GN=shi PE=1 SV=1",8.397,8.83,8.609,8.657,8.572,8.376,8.192,7.817,7.702,7.645,-0.667,0.014,"Shibire, isoform L","shi","no_change"
"197","Fasciclin 1, isoform D OS=Drosophila melanogaster GN=Fas1 PE=1 SV=1",6.689,7.454,7.014,7.426,7.197,7.066,6.811,6.236,5.95,6.138,-0.716,0.038,"Fasciclin 1, isoform D","Fas1","no_change"
"198","Aconitate hydratase OS=Drosophila melanogaster GN=Irp-1B PE=1 SV=1",10.912,10.847,10.83,10.712,10.835,10.831,10.936,10.91,10.997,11.032,0.114,0.142,"Aconitate hydratase","Irp-1B","no_change"
"199","14-3-3 protein epsilon OS=Drosophila melanogaster GN=14-3-3epsilon PE=1 SV=2",11.603,11.622,11.61,11.63,11.567,11.518,11.596,11.589,11.544,11.453,-0.066,0.283,"14-3-3 protein epsilon","14-3-3epsilon","no_change"
"200","CG8258 OS=Drosophila melanogaster GN=CCT8 PE=1 SV=1",11.208,10.768,11.069,10.906,10.85,11.18,11.393,11.587,11.829,12.023,0.642,0.017,"CG8258","CCT8","no_change"
"201","FI07923p OS=Drosophila melanogaster GN=Karybeta3 PE=1 SV=1",10.824,10.505,10.663,10.545,10.618,10.667,10.843,11.035,11.167,11.349,0.381,0.039,"FI07923p","Karybeta3","no_change"
"202","Lingerer, isoform K OS=Drosophila melanogaster GN=lig PE=1 SV=1",9.448,9.24,9.499,9.493,9.327,9.525,9.648,9.706,9.72,9.62,0.243,0.026,"Lingerer, isoform K","lig","no_change"
"203","Triosephosphate isomerase OS=Drosophila melanogaster GN=Tpi PE=1 SV=3",11.525,11.209,11.264,11.158,11.361,11.441,11.542,11.751,11.959,12.266,0.489,0.032,"Triosephosphate isomerase","Tpi","no_change"
"204","Fasciclin 1, isoform C OS=Drosophila melanogaster GN=Fas1 PE=1 SV=1",5.366,4.824,4.912,4.845,4.818,5.075,5.137,5.166,5.332,5.474,0.284,0.083,"Fasciclin 1, isoform C","Fas1","no_change"
"205","Delta-1-Pyrroline-5-carboxylate dehydrogenase 1, isoform A OS=Drosophila melanogaster GN=P5CDh1 PE=1 SV=1",10.985,10.885,10.898,10.764,10.856,10.791,10.951,11.023,11.126,11.379,0.176,0.178,"Delta-1-Pyrroline-5-carboxylate dehydrogenase 1, isoform A","P5CDh1","no_change"
"206","GH06739p OS=Drosophila melanogaster GN=tn PE=1 SV=1",8.991,8.958,9.085,8.925,9.058,8.971,8.784,8.75,8.866,8.976,-0.134,0.116,"GH06739p","tn","no_change"
"207","14-3-3zeta, isoform K OS=Drosophila melanogaster GN=14-3-3zeta PE=1 SV=1",11.191,11.307,11.156,11.11,11.306,11.052,11.071,10.909,10.892,11.09,-0.211,0.035,"14-3-3zeta, isoform K","14-3-3zeta","no_change"
"208","Fasciclin-1 OS=Drosophila melanogaster GN=Fas1 PE=1 SV=1",6.883,7.536,7.147,7.222,7.027,6.63,6.73,6.288,6.565,6.136,-0.693,0.012,"Fasciclin-1","Fas1","no_change"
"209","T-complex protein 1 subunit alpha OS=Drosophila melanogaster GN=T-cp1 PE=2 SV=2",10.945,10.407,10.755,10.579,10.548,10.881,11.078,11.329,11.503,11.553,0.622,0.016,"T-complex protein 1 subunit alpha","T-cp1","no_change"
"210","Alcohol dehydrogenase OS=Drosophila melanogaster GN=Adh PE=1 SV=2",11.658,11.655,11.466,11.457,11.628,11.493,11.572,11.667,11.832,12.132,0.166,0.259,"Alcohol dehydrogenase","Adh","no_change"
"211","Mitochondrial proton/calcium exchanger protein OS=Drosophila melanogaster GN=Letm1 PE=2 SV=2",11.02,11.128,11.034,11,11.079,10.939,10.919,10.862,10.816,10.86,-0.173,0.028,"Mitochondrial proton/calcium exchanger protein","Letm1","no_change"
"212","Proline dehydrogenase OS=Drosophila melanogaster GN=slgA PE=1 SV=1",11,10.881,10.833,10.702,10.874,10.827,10.967,11.166,11.237,11.477,0.277,0.08,"Proline dehydrogenase","slgA","no_change"
"213","Malic enzyme OS=Drosophila melanogaster GN=Men-b PE=1 SV=1",11.153,11.115,11.095,10.976,11.186,11.068,11.034,11.122,11.139,11.319,0.031,0.73,"Malic enzyme","Men-b","no_change"
"214","Optic atrophy 1 ortholog, isoform A OS=Drosophila melanogaster GN=Opa1 PE=1 SV=1",11.058,10.937,10.972,10.866,11.029,11.077,11.06,11.155,11.165,11.281,0.175,0.05,"Optic atrophy 1 ortholog, isoform A","Opa1","no_change"
"215","FI19014p1 OS=Drosophila melanogaster GN=Fim PE=1 SV=1",6.368,6.225,6.23,6.364,6.494,6.402,6.146,6.088,6.229,6.588,-0.046,0.732,"FI19014p1","Fim","no_change"
"216","ATP synthase subunit d, mitochondrial OS=Drosophila melanogaster GN=ATPsynD PE=2 SV=2",11.03,11.01,10.864,10.791,10.929,10.887,11.076,11.331,11.59,11.972,0.446,0.071,"ATP synthase subunit d, mitochondrial","ATPsynD","no_change"
"217","Isoleucyl-tRNA synthetase, isoform A OS=Drosophila melanogaster GN=IleRS PE=1 SV=1",10.621,10.562,10.651,10.57,10.51,10.504,10.662,10.592,10.587,10.444,-0.025,0.74,"Isoleucyl-tRNA synthetase, isoform A","IleRS","no_change"
